p	512	8192
a	6	20	1
a	6	22	22
a	6	23	86
a	6	24	91
a	6	25	90
a	6	27	80
a	6	30	97
a	6	32	54
a	6	33	71
a	6	34	78
a	6	40	49
a	6	41	12
a	6	42	80
a	6	48	25
a	6	56	65
a	6	64	13
a	6	65	67
a	6	67	94
a	6	72	17
a	6	73	19
a	6	75	30
a	6	76	1
a	6	80	37
a	6	84	22
a	6	87	98
a	6	89	38
a	6	99	50
a	6	128	59
a	6	136	63
a	6	161	49
a	6	162	35
a	6	168	45
a	6	193	41
a	6	210	88
a	6	256	56
a	6	257	30
a	6	258	13
a	6	260	36
a	6	261	81
a	6	262	5
a	6	263	22
a	6	264	45
a	6	265	85
a	6	266	63
a	6	268	45
a	6	269	22
a	6	278	25
a	6	280	11
a	6	281	95
a	6	284	49
a	6	285	92
a	6	289	73
a	6	293	14
a	6	297	22
a	6	299	51
a	6	305	99
a	6	320	15
a	6	321	74
a	6	324	25
a	6	328	59
a	6	330	94
a	6	332	53
a	6	336	61
a	6	337	11
a	6	345	2
a	6	352	80
a	6	384	6
a	6	389	86
a	6	395	71
a	6	404	89
a	6	452	12
a	6	464	18
a	7	0	49
a	7	2	96
a	7	8	52
a	7	12	50
a	7	16	99
a	7	17	75
a	7	32	52
a	7	33	74
a	7	64	68
a	7	68	92
a	7	72	36
a	7	80	77
a	7	85	45
a	7	121	98
a	7	144	60
a	7	145	26
a	7	192	27
a	7	256	93
a	7	258	79
a	7	260	10
a	7	264	74
a	7	265	93
a	7	267	95
a	7	272	17
a	7	292	58
a	7	328	9
a	7	344	66
a	7	353	71
a	7	403	17
a	8	0	48
a	8	1	96
a	8	2	93
a	8	3	45
a	8	4	37
a	8	5	54
a	8	6	12
a	8	7	79
a	8	9	96
a	8	10	31
a	8	11	73
a	8	12	28
a	8	13	53
a	8	14	93
a	8	15	90
a	8	16	75
a	8	17	7
a	8	18	14
a	8	19	4
a	8	20	52
a	8	24	35
a	8	25	52
a	8	26	49
a	8	27	56
a	8	28	74
a	8	32	13
a	8	33	56
a	8	34	56
a	8	35	83
a	8	36	27
a	8	37	58
a	8	38	94
a	8	40	34
a	8	42	30
a	8	43	72
a	8	44	49
a	8	48	6
a	8	50	35
a	8	51	46
a	8	64	84
a	8	65	18
a	8	66	98
a	8	67	22
a	8	68	31
a	8	70	54
a	8	71	11
a	8	72	93
a	8	73	81
a	8	74	46
a	8	75	18
a	8	76	45
a	8	78	85
a	8	80	68
a	8	81	87
a	8	82	36
a	8	83	18
a	8	88	14
a	8	91	47
a	8	96	59
a	8	97	25
a	8	98	46
a	8	105	24
a	8	128	75
a	8	129	46
a	8	130	49
a	8	131	62
a	8	132	64
a	8	133	81
a	8	134	41
a	8	136	7
a	8	137	8
a	8	138	75
a	8	139	47
a	8	142	12
a	8	144	2
a	8	145	11
a	8	146	57
a	8	147	6
a	8	152	30
a	8	156	98
a	8	192	60
a	8	194	64
a	8	197	64
a	8	200	35
a	8	202	100
a	8	204	1
a	8	224	86
a	8	240	34
a	8	256	50
a	8	257	12
a	8	258	3
a	8	259	3
a	8	260	39
a	8	261	58
a	8	263	73
a	8	264	6
a	8	265	79
a	8	266	28
a	8	267	60
a	8	268	38
a	8	270	80
a	8	271	18
a	8	272	8
a	8	273	70
a	8	274	80
a	8	275	83
a	8	276	79
a	8	277	78
a	8	278	16
a	8	280	65
a	8	282	28
a	8	288	26
a	8	289	8
a	8	290	64
a	8	291	53
a	8	292	84
a	8	295	31
a	8	296	74
a	8	297	8
a	8	304	8
a	8	307	35
a	8	308	81
a	8	312	64
a	8	320	8
a	8	321	32
a	8	322	1
a	8	323	29
a	8	324	5
a	8	325	91
a	8	326	80
a	8	328	85
a	8	329	91
a	8	330	90
a	8	336	87
a	8	338	53
a	8	339	56
a	8	344	94
a	8	345	41
a	8	352	49
a	8	353	23
a	8	360	89
a	8	369	45
a	8	379	43
a	8	384	62
a	8	385	65
a	8	386	81
a	8	387	77
a	8	388	98
a	8	391	29
a	8	392	62
a	8	394	33
a	8	400	35
a	8	402	67
a	8	416	11
a	8	418	65
a	8	419	36
a	8	421	34
a	8	425	60
a	8	439	43
a	8	448	67
a	8	449	36
a	8	451	93
a	8	475	10
a	9	0	28
a	9	1	39
a	9	2	35
a	9	3	1
a	9	4	74
a	9	5	43
a	9	6	71
a	9	8	23
a	9	10	47
a	9	12	31
a	9	16	75
a	9	17	20
a	9	18	93
a	9	19	93
a	9	24	100
a	9	25	8
a	9	32	85
a	9	33	31
a	9	41	20
a	9	42	18
a	9	53	7
a	9	64	32
a	9	66	76
a	9	68	34
a	9	80	94
a	9	81	81
a	9	101	17
a	9	117	70
a	9	128	13
a	9	129	48
a	9	130	96
a	9	136	77
a	9	146	46
a	9	160	27
a	9	162	54
a	9	192	69
a	9	193	66
a	9	212	73
a	9	256	41
a	9	257	82
a	9	258	61
a	9	259	30
a	9	260	81
a	9	262	63
a	9	264	35
a	9	265	27
a	9	266	25
a	9	272	25
a	9	275	95
a	9	280	99
a	9	282	10
a	9	288	6
a	9	289	12
a	9	296	24
a	9	298	40
a	9	304	40
a	9	320	66
a	9	321	78
a	9	322	50
a	9	323	94
a	9	328	90
a	9	330	6
a	9	337	69
a	9	338	2
a	9	343	19
a	9	345	53
a	9	384	72
a	9	386	32
a	9	387	30
a	9	388	2
a	9	392	75
a	9	400	82
a	9	424	57
a	9	452	70
a	10	0	31
a	10	1	64
a	10	2	1
a	10	3	27
a	10	4	80
a	10	5	17
a	10	6	30
a	10	7	3
a	10	8	58
a	10	9	70
a	10	16	30
a	10	17	61
a	10	18	89
a	10	20	59
a	10	24	48
a	10	25	27
a	10	26	44
a	10	28	20
a	10	32	74
a	10	33	42
a	10	34	12
a	10	36	10
a	10	49	70
a	10	56	83
a	10	64	52
a	10	65	23
a	10	66	65
a	10	67	4
a	10	68	48
a	10	72	86
a	10	74	72
a	10	76	3
a	10	80	27
a	10	82	73
a	10	93	98
a	10	96	29
a	10	99	9
a	10	104	75
a	10	113	30
a	10	128	69
a	10	129	65
a	10	130	70
a	10	131	38
a	10	132	69
a	10	133	89
a	10	144	42
a	10	146	49
a	10	153	62
a	10	168	87
a	10	192	76
a	10	193	37
a	10	195	68
a	10	201	44
a	10	212	65
a	10	256	60
a	10	257	12
a	10	258	64
a	10	259	29
a	10	260	92
a	10	262	34
a	10	263	57
a	10	264	30
a	10	265	16
a	10	266	49
a	10	270	75
a	10	272	33
a	10	273	94
a	10	274	89
a	10	275	7
a	10	276	4
a	10	277	49
a	10	278	63
a	10	280	67
a	10	281	57
a	10	288	8
a	10	290	98
a	10	291	30
a	10	296	78
a	10	298	88
a	10	304	49
a	10	305	3
a	10	309	49
a	10	320	76
a	10	321	80
a	10	329	7
a	10	337	70
a	10	344	35
a	10	345	73
a	10	352	42
a	10	353	99
a	10	360	97
a	10	361	28
a	10	362	51
a	10	377	59
a	10	384	83
a	10	385	56
a	10	387	84
a	10	388	42
a	10	392	85
a	10	395	7
a	10	400	60
a	10	401	76
a	10	402	53
a	10	405	79
a	10	408	35
a	10	411	71
a	10	416	70
a	10	418	71
a	10	448	22
a	10	452	67
a	10	492	61
a	11	0	90
a	11	1	52
a	11	2	84
a	11	4	86
a	11	5	86
a	11	6	27
a	11	8	74
a	11	9	82
a	11	10	56
a	11	12	63
a	11	16	36
a	11	18	27
a	11	22	69
a	11	32	100
a	11	48	93
a	11	56	9
a	11	80	40
a	11	88	98
a	11	120	20
a	11	129	96
a	11	141	3
a	11	192	2
a	11	194	10
a	11	256	54
a	11	258	47
a	11	261	79
a	11	263	82
a	11	264	54
a	11	266	68
a	11	272	25
a	11	281	80
a	11	288	13
a	11	292	48
a	11	320	97
a	11	322	80
a	11	393	88
a	11	402	82
a	12	0	49
a	12	1	29
a	12	2	65
a	12	3	90
a	12	4	35
a	12	5	69
a	12	6	55
a	12	8	95
a	12	10	56
a	12	11	23
a	12	13	77
a	12	14	49
a	12	15	69
a	12	16	17
a	12	17	46
a	12	18	77
a	12	19	90
a	12	20	95
a	12	24	2
a	12	27	58
a	12	32	9
a	12	36	43
a	12	37	47
a	12	39	45
a	12	42	57
a	12	44	29
a	12	52	94
a	12	57	54
a	12	58	39
a	12	66	62
a	12	67	32
a	12	68	8
a	12	72	73
a	12	73	61
a	12	76	65
a	12	77	35
a	12	80	37
a	12	81	82
a	12	83	52
a	12	128	53
a	12	129	65
a	12	130	82
a	12	132	43
a	12	134	96
a	12	135	45
a	12	136	34
a	12	138	48
a	12	148	13
a	12	149	100
a	12	181	26
a	12	192	35
a	12	224	71
a	12	256	42
a	12	257	37
a	12	258	66
a	12	259	78
a	12	260	85
a	12	261	35
a	12	262	75
a	12	264	38
a	12	265	14
a	12	266	82
a	12	269	97
a	12	270	57
a	12	272	87
a	12	273	5
a	12	274	69
a	12	275	84
a	12	276	23
a	12	277	18
a	12	279	82
a	12	280	11
a	12	288	85
a	12	291	78
a	12	292	47
a	12	296	27
a	12	304	81
a	12	306	34
a	12	307	12
a	12	318	44
a	12	320	27
a	12	324	44
a	12	328	96
a	12	329	12
a	12	331	94
a	12	336	34
a	12	338	90
a	12	384	91
a	12	385	96
a	12	392	26
a	12	396	93
a	12	397	63
a	12	400	62
a	12	403	43
a	12	406	88
a	12	409	67
a	12	413	26
a	12	448	35
a	12	449	78
a	13	0	59
a	13	1	7
a	13	2	9
a	13	5	37
a	13	16	81
a	13	17	33
a	13	18	57
a	13	20	38
a	13	24	19
a	13	29	2
a	13	32	66
a	13	33	40
a	13	41	48
a	13	70	21
a	13	75	60
a	13	77	74
a	13	132	4
a	13	164	52
a	13	256	94
a	13	257	59
a	13	258	88
a	13	259	99
a	13	265	1
a	13	266	6
a	13	267	53
a	13	271	59
a	13	272	9
a	13	276	7
a	13	285	59
a	13	290	84
a	13	292	68
a	13	300	2
a	13	308	49
a	13	324	82
a	13	328	13
a	13	345	38
a	13	386	96
a	13	393	9
a	13	408	42
a	13	410	43
a	13	456	17
a	13	460	36
a	14	0	41
a	14	2	100
a	14	3	58
a	14	6	16
a	14	8	59
a	14	9	36
a	14	13	35
a	14	16	78
a	14	64	6
a	14	65	5
a	14	66	57
a	14	68	22
a	14	69	37
a	14	72	13
a	14	128	4
a	14	133	16
a	14	147	70
a	14	152	49
a	14	194	74
a	14	200	7
a	14	256	59
a	14	257	99
a	14	258	79
a	14	260	40
a	14	261	12
a	14	264	32
a	14	265	66
a	14	266	1
a	14	272	59
a	14	274	98
a	14	277	95
a	14	280	15
a	14	288	25
a	14	289	82
a	14	298	51
a	14	313	1
a	14	320	68
a	14	321	62
a	14	328	61
a	14	329	94
a	14	344	78
a	14	372	61
a	14	385	71
a	14	400	13
a	14	416	81
a	14	449	59
a	14	482	72
a	15	0	50
a	15	1	67
a	15	4	70
a	15	17	94
a	15	34	92
a	15	64	4
a	15	80	37
a	15	107	68
a	15	129	77
a	15	136	42
a	15	192	32
a	15	256	20
a	15	260	17
a	15	264	81
a	15	265	24
a	15	267	63
a	15	268	71
a	15	272	6
a	15	273	76
a	15	321	53
a	15	324	84
a	15	333	20
a	15	344	8
a	16	0	70
a	16	1	1
a	16	2	9
a	16	3	82
a	16	4	12
a	16	5	71
a	16	6	26
a	16	7	98
a	16	8	85
a	16	9	13
a	16	10	7
a	16	11	59
a	16	12	93
a	16	17	90
a	16	18	77
a	16	19	94
a	16	24	3
a	16	25	88
a	16	27	100
a	16	29	40
a	16	31	35
a	16	32	16
a	16	33	83
a	16	34	80
a	16	35	28
a	16	36	7
a	16	38	1
a	16	40	98
a	16	41	46
a	16	42	92
a	16	48	59
a	16	49	11
a	16	50	79
a	16	57	63
a	16	64	60
a	16	66	88
a	16	67	17
a	16	68	17
a	16	72	100
a	16	76	33
a	16	78	64
a	16	80	61
a	16	81	11
a	16	86	27
a	16	88	54
a	16	95	7
a	16	107	20
a	16	115	64
a	16	120	2
a	16	128	47
a	16	129	5
a	16	130	90
a	16	132	37
a	16	136	48
a	16	138	82
a	16	144	6
a	16	147	94
a	16	150	65
a	16	163	14
a	16	194	90
a	16	195	85
a	16	197	43
a	16	200	96
a	16	256	82
a	16	257	74
a	16	258	20
a	16	259	42
a	16	260	60
a	16	261	71
a	16	264	92
a	16	265	74
a	16	266	73
a	16	267	63
a	16	272	18
a	16	273	98
a	16	274	14
a	16	275	8
a	16	276	33
a	16	280	85
a	16	289	46
a	16	290	16
a	16	291	88
a	16	294	34
a	16	296	78
a	16	297	67
a	16	303	43
a	16	306	37
a	16	310	87
a	16	320	68
a	16	321	87
a	16	322	72
a	16	323	26
a	16	326	45
a	16	328	67
a	16	330	56
a	16	336	82
a	16	338	40
a	16	352	76
a	16	369	96
a	16	379	37
a	16	384	36
a	16	388	22
a	16	389	60
a	16	392	44
a	16	402	39
a	16	408	44
a	16	426	10
a	16	449	92
a	17	0	41
a	17	1	13
a	17	2	65
a	17	6	57
a	17	8	97
a	17	10	88
a	17	12	23
a	17	32	58
a	17	35	18
a	17	43	21
a	17	65	45
a	17	72	17
a	17	131	20
a	17	138	54
a	17	139	96
a	17	160	41
a	17	163	84
a	17	208	21
a	17	212	34
a	17	256	45
a	17	257	58
a	17	258	74
a	17	259	17
a	17	260	59
a	17	262	66
a	17	266	87
a	17	270	11
a	17	278	13
a	17	282	13
a	17	294	6
a	17	296	75
a	17	297	26
a	17	321	16
a	17	322	11
a	17	384	60
a	17	389	20
a	17	393	92
a	17	478	23
a	18	0	27
a	18	1	48
a	18	2	61
a	18	8	24
a	18	10	13
a	18	13	39
a	18	16	21
a	18	17	13
a	18	25	29
a	18	29	28
a	18	34	41
a	18	35	77
a	18	43	67
a	18	48	85
a	18	49	78
a	18	50	27
a	18	64	94
a	18	65	23
a	18	67	87
a	18	80	21
a	18	99	19
a	18	128	28
a	18	131	35
a	18	136	37
a	18	145	18
a	18	153	75
a	18	168	13
a	18	256	43
a	18	257	45
a	18	258	39
a	18	259	83
a	18	260	76
a	18	263	31
a	18	264	28
a	18	265	83
a	18	266	11
a	18	272	22
a	18	273	70
a	18	274	71
a	18	276	86
a	18	279	4
a	18	280	78
a	18	288	4
a	18	290	63
a	18	294	66
a	18	321	98
a	18	329	14
a	18	357	19
a	18	385	3
a	18	393	20
a	18	400	81
a	18	426	74
a	18	448	51
a	19	0	78
a	19	2	22
a	19	5	9
a	19	32	51
a	19	44	92
a	19	64	96
a	19	161	13
